name,profession,north_node_lon,south_node_lon,sun_lon,moon_lon,north_node_sign,north_node_sign_id,nn_house_from_sun_equal,nn_house_from_moon_equal,sn_house_from_sun_equal,sn_house_from_moon_equal,nn_house_from_sun_whole,nn_house_from_moon_whole,sn_house_from_sun_whole,sn_house_from_moon_whole
Clement Attlee,politician,229.1699956314268,49.16999563142679,282.8266079443996,214.22843106010347,Scorpio,7,11,1,5,7,11,1,5,7
Nelson Mandela,politician,261.8351745689892,81.8351745689892,115.15030507963078,231.27855023080505,Sagittarius,8,5,2,11,8,6,2,12,8
Mahatma Gandhi,politician,125.68742917174296,305.68742917174296,189.11820383196454,142.77104580339648,Leo,4,10,12,4,6,11,1,5,7
Martin Luther King Jr,politician,58.6696905401318,238.6696905401318,294.8798229570599,346.346872901865,Taurus,1,5,3,11,9,5,3,11,9
Vladimir Putin,politician,319.98002603144465,139.98002603144465,194.05226370819554,64.56146695814658,Aquarius,10,5,9,11,3,5,9,11,3
Xi Jinping,politician,303.7768894043712,123.77688940437122,84.07371746479741,130.06225273379616,Aquarius,10,8,6,2,12,9,7,3,1
Angela Merkel,politician,284.7713607896788,104.7713607896788,114.60196298003184,316.0206036428193,Capricorn,9,6,11,12,5,7,12,1,6
Emmanuel Macron,politician,192.16307375984232,12.163073759842291,269.460429549543,44.98137082884498,Libra,6,10,5,4,11,11,6,5,12
Justin Trudeau,politician,305.67964422656155,125.67964422656155,273.44081455129026,14.320823141141906,Aquarius,10,2,10,8,4,2,11,8,5
Jacinda Ardern,politician,140.22926693002927,320.22926693002927,123.63270127719937,286.9842220942292,Leo,4,1,8,7,2,1,8,7,2
Volodymyr Zelensky,politician,187.75790977708039,7.7579097770803855,305.1663000440566,138.22895588005835,Libra,6,9,2,3,8,9,3,3,9
Benjamin Netanyahu,politician,16.686157199671772,196.68615719967178,207.75690146854689,202.19828085793597,Aries,0,6,6,12,12,7,7,1,1
Narendra Modi,politician,358.38141212210405,178.38141212210405,174.0247996345495,245.86456789619373,Pisces,11,7,4,1,10,7,4,1,10
Shinzo Abe,politician,281.7476655648117,101.74766556481171,177.96416987791622,113.39749035812741,Capricorn,9,4,6,10,12,5,7,11,1
Moon Jae-in,politician,312.4147639869704,132.4147639869704,304.2236683724893,61.9722075212243,Aquarius,10,1,9,7,3,1,9,7,3
Jair Bolsonaro,politician,271.24016645503866,91.24016645503866,0.0999931848988567,325.6369888786548,Capricorn,9,10,11,4,5,10,12,4,6
Lula da Silva,politician,91.82731521771106,271.8273152177111,213.7091865782014,118.39358533097966,Cancer,3,8,12,2,6,9,1,3,7
Pope Francis,politician,264.2796775931986,84.27967759319858,265.7797210058686,310.92092360621814,Sagittarius,8,12,11,6,5,1,11,7,5
Dalai Lama,politician,292.0131769340894,112.01317693408942,103.19405504546566,163.07784765522226,Capricorn,9,7,5,1,11,7,5,1,11
Aung San Suu Kyi,politician,99.23901557678168,279.2390155767817,87.8190660009679,198.80932668639085,Cancer,3,1,9,7,3,2,10,8,4
Malala Yousafzai,politician,171.69730470267933,351.69730470267933,110.17271977184876,195.68277492543862,Virgo,5,3,12,9,6,3,12,9,6
Napoleon Bonaparte,politician,262.3078869859218,82.30788698592181,142.72243727171247,298.39100802370785,Sagittarius,8,4,11,10,5,5,12,11,6
Queen Victoria,politician,19.729580051891606,199.72958005189162,62.119243611002865,63.687730273677786,Aries,0,11,11,5,5,11,11,5,5
Queen Elizabeth II,politician,110.10786338073635,290.1078633807364,30.246596101967594,132.61384916449776,Cancer,3,3,12,9,6,3,12,9,6
King Charles III,politician,34.95971674471933,214.95971674471934,232.42256064266329,30.431096978294427,Taurus,1,6,1,12,7,7,1,1,7
Charlemagne,politician,332.77037690086064,152.77037690086058,11.777692990450857,229.49000307354783,Pisces,11,11,4,5,10,12,5,6,11
Genghis Khan,politician,131.70613188288183,311.70613188288183,280.85969847036307,359.491915421261,Leo,4,8,5,2,11,8,6,2,12
Catherine the Great,politician,320.0188913295534,140.0188913295534,41.584598082747334,83.61743544636118,Aquarius,10,10,8,4,2,10,9,4,3
Peter the Great,politician,339.94455387407777,159.94455387407777,79.21162045168464,248.2376539993141,Pisces,11,9,4,3,10,10,4,4,10
Louis XIV,politician,274.6990592800026,94.69905928000259,162.776785988386,125.72664499127175,Capricorn,9,4,5,10,11,5,6,11,12
Frederick the Great,politician,294.4091798304653,114.40917983046529,303.7006571548217,131.17761879745936,Capricorn,9,12,6,6,12,12,6,6,12
Bismarck,politician,98.2051668894106,278.20516688941063,10.932325009376262,279.02468509443,Cancer,3,3,6,9,12,4,7,10,1
Lenin,politician,113.01040109392784,293.01040109392784,32.52348873275049,305.1283801713264,Cancer,3,3,6,9,12,3,6,9,12
Stalin,politician,304.70279107283216,124.70279107283216,266.48985707192185,194.5609557496494,Aquarius,10,2,4,8,10,3,5,9,11
Mao Zedong,politician,15.954527501407032,195.95452750140703,274.81204472711215,138.70894586631033,Aries,0,4,8,10,2,4,9,10,3
Ho Chi Minh,politician,83.92692164841006,263.92692164841003,58.41700772221829,66.0555211171692,Gemini,2,1,1,7,7,2,1,8,7
Fidel Castro,politician,105.89865338236325,285.89865338236325,139.56912829709503,188.71965084986172,Cancer,3,11,10,5,4,12,10,6,4
Che Guevara,politician,69.49360510839684,249.49360510839682,82.79782000883236,30.802155229196394,Gemini,2,12,2,6,8,1,2,7,8
Marilyn Monroe,entertainer,106.88754211770754,286.88754211770754,70.12505341064228,314.35078058501875,Cancer,3,2,6,8,12,2,6,8,12
Marlon Brando,entertainer,151.5792837180409,331.57928371804087,13.910522553203176,9.984111586601685,Virgo,5,5,5,11,11,6,6,12,12
James Dean,entertainer,16.12406056918817,196.12406056918817,318.35586119006587,208.31928997401914,Aries,0,2,6,8,12,3,7,9,1
Audrey Hepburn,entertainer,51.318248424550994,231.318248424551,43.15654978464771,336.98722819004155,Taurus,1,1,3,7,9,1,3,7,9
Elizabeth Taylor,entertainer,356.28923163956506,176.28923163956506,337.2960922844426,225.74349554052517,Pisces,11,1,5,7,11,1,5,7,11
Katharine Hepburn,entertainer,115.4405333354945,295.4405333354945,50.83651635791633,54.975124053514186,Cancer,3,3,3,9,9,3,3,9,9
Humphrey Bogart,entertainer,260.18353690806714,80.18353690806714,273.52621032801414,187.2226019790837,Sagittarius,8,12,3,6,9,12,3,6,9
Cary Grant,entertainer,179.4678692669794,359.4678692669794,296.5274759779726,300.78500207036143,Virgo,5,9,8,3,2,9,8,3,2
Grace Kelly,entertainer,42.1709927544847,222.1709927544847,229.35850940220848,349.19638188990626,Taurus,1,6,2,12,8,7,3,1,9
Ingrid Bergman,entertainer,317.2153633791298,137.21536337912983,154.71407405321767,26.064059897211017,Aquarius,10,6,10,12,4,6,11,12,5
Bette Davis,entertainer,98.83313185540851,278.8331318554085,15.66986059711565,74.16468537401477,Cancer,3,3,1,9,7,4,2,10,8
Clark Gable,entertainer,239.13336689895922,59.13336689895925,311.6979234066807,102.61848273144753,Scorpio,7,10,5,4,11,10,5,4,11
John Wayne,entertainer,114.53001525867666,294.53001525867666,64.11951120609157,229.39867636299175,Cancer,3,2,9,8,3,2,9,8,3
James Stewart,entertainer,95.58766359872916,275.58766359872914,59.2802242504205,299.26209155632154,Cancer,3,2,6,8,12,3,7,9,1
Spencer Tracy,entertainer,252.69978662609302,72.69978662609299,15.251017545437865,89.31374978203142,Sagittarius,8,8,6,2,12,9,7,3,1
Robert De Niro,entertainer,135.9372911929583,315.9372911929583,143.34551751563183,341.8384714264525,Leo,4,12,6,6,12,1,6,7,12
Al Pacino,entertainer,199.95272071526404,19.952720715264036,35.0812846859093,258.8246508127957,Libra,6,6,11,12,5,6,11,12,5
Jack Nicholson,entertainer,256.0251087763892,76.02510877638917,31.936955396786747,177.00434190076885,Sagittarius,8,8,3,2,9,8,4,2,10
