name,profession,Sun_lon,Sun_sign,Moon_lon,Moon_sign,Mercury_lon,Mercury_sign,Venus_lon,Venus_sign,Mars_lon,Mars_sign,Jupiter_lon,Jupiter_sign,Saturn_lon,Saturn_sign,kmeans_cluster,hier_cluster,kmeans_prof_cluster,PC1,PC2
Franz Beckenbauer,athlete,168.37746326069364,5,222.9249348373715,7,151.70376059568125,5,134.1624759778463,4,92.13452484079012,3,183.57592467562827,6,112.17019648247165,3,0,1,6,-0.7090359285815065,-0.08446006806398962
George Best,athlete,60.77858118351784,2,311.07565828136234,10,50.20311323765945,1,88.00506028133879,2,134.30770179726585,4,198.2561375574103,6,111.31174008661445,3,0,1,0,-1.924327396807442,0.4961492484592796
Thierry Henry,athlete,144.46306286325836,4,176.18717517076902,5,169.63736444480688,5,106.93030134173834,3,80.80089878907647,2,89.4767149172215,2,140.9377276425045,4,0,1,6,-1.0191976688153817,-0.8991389158686431
Ronaldinho,athlete,1.027914104851753,0,65.94428821783553,2,337.5854223141867,11,46.20929420403243,1,147.47106980118295,4,152.16396670938866,5,173.06468318094542,5,0,0,4,-1.0191369331523128,-0.24303179460760976
Roger Federer,athlete,135.70748216342582,4,231.73232609987753,7,133.63256011792046,4,167.7866640362823,5,104.00304643085568,3,187.31908539548823,6,186.2107546971485,6,0,1,6,-0.7359973242141419,-0.22524846737047136
Rafael Nadal,athlete,72.61610866198512,2,28.1272939845085,0,85.96126682093335,2,105.45652275743024,3,292.9262389296098,9,350.477553796624,11,245.93256703480404,8,0,1,7,-1.1164278787726996,2.004409554471784
Novak Djokovic,athlete,60.87510033953689,2,0.3418157152914319,0,77.48353967490291,2,36.061967906358035,1,90.89432890552196,3,18.866634814047394,0,259.14822198198823,8,0,1,4,-2.435249444314369,-1.4333226947269153
Serena Williams,athlete,183.65061792503252,6,168.26896378115205,5,209.51876755716506,6,226.13496443940144,7,135.47859452216858,4,197.00612418964843,6,191.68993651280695,6,1,0,1,0.2918132846030726,-0.17744099621705878
Venus Williams,athlete,86.51704346454399,2,144.08828912656892,4,110.7279375259316,3,82.91732784424165,2,167.79204324313653,5,154.05893716462666,5,170.7699745481501,5,0,1,4,-1.505884280756829,0.09698154630823577
Pete Sampras,athlete,139.12785387528834,4,36.59203177701809,1,160.5511220175004,5,134.93088233020782,4,316.41818497434406,10,237.12389610176618,7,65.2846986053191,2,0,0,7,-0.36198178716844925,1.7586578327580633
